woord	lengte	rang	omschrijving	bron
HOLEBI	6	18937	Homoseksueel	wiktionary
LAESIE	6	18938	Beschadiging	wiktionary
RANSEL	6	18939	Vierkant soort rugzak	wiktionary
REMWEG	6	18940	Afstand	wiktionary
SALINE	6	18941	Zouthoudend	wiktionary
SJALOT	6	18942	Kleine uiensoort	wiktionary
TROJKA	6	18943	Nummer	wiktionary
WILLIG	6	18944	Volgzaam	wiktionary
BAUXIET	7	18945	Mineraal	wiktionary
BOBSLEE	7	18946	Bestuurbare slee	wiktionary
CAMELIA	7	18947	Geslacht	wiktionary
CREOOLS	7	18948	Behorend tot	wiktionary
GELAZER	7	18949	Herrie	wiktionary
HOORNEN	7	18950	Gemaakt	wiktionary
LESSING	7	18951	Bevredigen	wiktionary
RADSLAG	7	18952	Turnoefening lijkend	wiktionary
SNIJBIET	7	18953	Var	wiktionary
TIJDKLOK	7	18954	Schakelaar	wiktionary
WELVING	7	18955	Lichte boogvorm	wiktionary
BAGUETTE	8	18956	Langwerpig brood	wiktionary
BOMBARIE	8	18957	Nodeloos lawaai	wiktionary
BOSGROND	8	18958	Bodem van een bos	wiktionary
DIENARES	8	18959	Vrouwelijke knecht	wiktionary
DOODSKOP	8	18960	Geraamte van een hoofd	wiktionary
GRIETMAN	8	18961	Hoofd	wiktionary
HARPISTE	8	18962	Vrouwelijke bespeler	wiktionary
KIESTOON	8	18963	Signaal	wiktionary
KORENAAR	8	18964	Bovenste deel	wiktionary
LEESWERK	8	18965	Arbeid die bestaat	wiktionary
OMPRATEN	8	18966	Door praten	wiktionary
OPPASSER	8	18967	Werknemer	wiktionary
PIEPTOON	8	18968	Hoge toon	wiktionary
PIJNAPPEL	8	18969	Houtige zaaddoos	wiktionary
PLAKWERK	8	18970	Van een tekst	wiktionary
REKENLES	8	18971	Korte tijd gedurende	wiktionary
ROBOTARM	8	18972	Mechanische manipulator	wiktionary
SCHELLAK	8	18973	Harsachtige massa	wiktionary
TEGENBOD	8	18974	Antwoord op een bod	wiktionary
WERKLAST	8	18975	Maximale gewicht	wiktionary
AUTOBEZIT	9	18976	In eigendom hebben	wiktionary
BEELDBUIS	9	18977	Pars pro toto	wiktionary
BEHAAGLIJK	9	18978	Aangenaam warm	wiktionary
BOORSCHIP	9	18979	Schip	wiktionary
BROEIERIG	9	18980	Drukkend	wiktionary
BRONTEKST	9	18981	Tekst of computercode	wiktionary
BUIKSPIER	9	18982	Elk van de spieren	wiktionary
DORPELING	9	18983	Inwoner	wiktionary
FLITSPAAL	9	18984	Apparaat	wiktionary
GERIBBELD	9	18985	Met ribbels	wiktionary
IJSBERGSLA	9	18986	Knapperig soort sla	wiktionary
KRUIDTUIN	9	18987	Tuin of deel van een tuin	wiktionary
LEEGROVEN	9	18988	Inbreken	wiktionary
LOSPLAATS	9	18989	Plaats	wiktionary
ONBEBOUWD	9	18990	Van een stuk land	wiktionary
ONGELADEN	9	18991	Van een wapen	wiktionary
ONTSTIJGEN	9	18992	Iets overtreffen	wiktionary
ONTWARREN	9	18993	Uit de war halen	wiktionary
PARTIJRAAD	9	18994	Adviserend	wiktionary
PIROUETTE	9	18995	Snelle draai op één voet	wiktionary
SODAWATER	9	18996	Water	wiktionary
SPANKEREN	9	18997	Hard weglopen	wiktionary
STRAFWORP	9	18998	Vrije worp	wiktionary
TAKENLIJST	9	18999	Opsomming	wiktionary
TRACERING	9	19000	Stenen versiering	wiktionary
ULTRASOON	9	19001	Met betrekking	wiktionary
VERDAMPER	9	19002	Apparaat	wiktionary
VERGULDEN	9	19003	Voorwerp bedekken	wiktionary
VERSTIJVEN	9	19004	Stijf worden	wiktionary
VOORNOEMD	9	19005	Wat eerder	wiktionary
VOORTDOEN	9	19006	Doorgaan met iets	wiktionary
ZONNEHOED	9	19007	Breedgerande hoed	wiktionary
BOETEKLEED	10	19008	Gewaad	wiktionary
DOEMDENKEN	10	19009	Hebben	wiktionary
EENSTEMMIG	10	19010	Volledig	wiktionary
FRANKERING	10	19011	Aanhechten	wiktionary
GORDELDIER	10	19012	Zoogdier met pantser	wiktionary
KAPOTSLAAN	10	19013	Iets beschadigen	wiktionary
KOERSWINST	10	19014	Positieve verschil	wiktionary
MEEVECHTEN	10	19015	Samen	wiktionary
NIVELLEREN	10	19016	Gelijk maken	wiktionary
SPATIEBALK	10	19017	Langwerpige toets	wiktionary
SYMBOLISME	10	19018	Richting in de kunst	wiktionary
VAATZIEKTE	10	19019	Aandoening	wiktionary
WELBEHAGEN	10	19020	Welgevallen	wiktionary
ANTICIPATIE	11	19021	Vooruitlopen op iets	wiktionary
BEKOMMERNIS	11	19022	Zorgen	wiktionary
CATEGORISCH	11	19023	Betrekking hebbend	wiktionary
GASREKENING	11	19024	Rekening	wiktionary
HERFSTKLEUR	11	19025	Kleur	wiktionary
ICONOGRAFIE	11	19026	Bestuderen	wiktionary
LAATBLOEIER	11	19027	Plant	wiktionary
MISREKENING	11	19028	Vergissing	wiktionary
MOERSLEUTEL	11	19029	Gereedschap gebruikt	wiktionary
PIKKEDONKER	11	19030	Zeer donker	wiktionary
SCREENSAVER	11	19031	Afbeelding	wiktionary
SUIKERWATER	11	19032	Water	wiktionary
TAEKWONDOKA	11	19033	Beoefenaar	wiktionary
WIJKGEMEENTE	11	19034	Religieuze gemeente	wiktionary
BANDENWISSEL	12	19035	Wisselen	wiktionary
BRANDMEESTER	12	19036	Opzichter	wiktionary
MEZZOSOPRAAN	12	19037	Zangstem	wiktionary
ONDERWIJSVELD	12	19038	Allen	wiktionary
OVERDOSERING	12	19039	Toediening	wiktionary
SERVICEBALIE	12	19040	Plaats	wiktionary
STRAATWAARDE	12	19041	Hoeveelheid geld	wiktionary
VLUCHTELINGE	12	19042	Vrouw	wiktionary
VOORUITLOPEN	12	19043	Anticiperen op	wiktionary
WALKIETALKIE	12	19044	Draagbaar apparaat	wiktionary
WORTELKANAAL	12	19045	Kanaal	wiktionary
AFT	3	19046	Kleine zweer	wiktionary
DOKA	4	19047	Kamer zonder daglicht	wiktionary
UIER	4	19048	Melkklier	wiktionary
GUMMI	5	19049	Rubber	wiktionary
JOLIJT	5	19050	Pret	wiktionary
LAVEN	5	19051	Lessen	wiktionary
SCHEL	5	19052	Bel met hoge toon	wiktionary
TRITS	5	19053	Drie zaken	wiktionary
BOTWEG	6	19054	Onbeleefd	wiktionary
BRUUSK	6	19055	Met plotselinge	wiktionary
CAMBIO	6	19056	Bedrijf	wiktionary
GRAVER	6	19057	Iemand die graaft	wiktionary
HITSEN	6	19058	Aanzetten	wiktionary
KIEPEN	6	19059	Laten kantelen	wiktionary
KOELIE	6	19060	Ongeschoolde arbeider	wiktionary
MIHOEN	6	19061	Soort bami	wiktionary
WASHOK	6	19062	Ruimte in een gebouw	wiktionary
BLINKER	7	19063	Jac	wiktionary
BREKING	7	19064	Ontstaan	wiktionary
DEVIANT	7	19065	Iemand die afwijkt	wiktionary
FLYEREN	7	19066	Uit delen van folders	wiktionary
FONDANT	7	19067	Soort suikergoed	wiktionary
GESELEN	7	19068	Iemand met een zweep	wiktionary
GRINDEN	7	19069	Skateboard oefening	wiktionary
HEVELEN	7	19070	Overbrengen	wiktionary
INFUSIE	7	19071	Aftreksel dat ontstaat	wiktionary
JUBELEN	7	19072	Juichen	wiktionary
KALEBAS	7	19073	Houtige	wiktionary
PASTORIJ	7	19074	Ambtswoning	wiktionary
POSTWEG	7	19075	Grote	wiktionary
ROTWEER	7	19076	Vervelende weer	wiktionary
SLOTZIN	7	19077	Laatste zin	wiktionary
STUWWAL	7	19078	Verhoging	wiktionary
TAXIBUS	7	19079	Kleine bus	wiktionary
VERTOOG	7	19080	Betoog	wiktionary
ANTISLIP	8	19081	Middel tegen slippen	wiktionary
ARTISJOK	8	19082	Soort plant	wiktionary
BERGWAND	8	19083	Steile zijkant	wiktionary
BOUWSTOP	8	19084	Staken	wiktionary
FILAMENT	8	19085	Vezel	wiktionary
GIFBEKER	8	19086	Beker met vergif	wiktionary
GRIJSAARD	8	19087	Oude man	wiktionary
HEMATIET	8	19088	Roodkleurig mineraal	wiktionary
HOUTDUIF	8	19089	Columba palumbus	wiktionary
KLAPSTUK	8	19090	Stuk rundvlees	wiktionary
LOOPVLAK	8	19091	Gedeelte van een voet	wiktionary
LOOPWERK	8	19092	Lopen	wiktionary
RIJWONING	8	19093	Huis uit een reeks	wiktionary
SKIBROEK	8	19094	Broek	wiktionary
STOPBORD	8	19095	Verkeersbord	wiktionary
TUIMELEN	8	19096	Draaiend vallen	wiktionary
TUINMUUR	8	19097	Stenen afscheiding	wiktionary
UITVEGEN	8	19098	Door vegen verwijderen	wiktionary
VERBIJTEN	8	19099	Zijn gevoelens	wiktionary
ZWEMBRIL	8	19100	Bril gebruikt	wiktionary
BEBOSSING	9	19101	Bedekt zijn met bos	wiktionary
BEGRENZER	9	19102	Voorziening	wiktionary
BUITENLIJN	9	19103	Omtrek	wiktionary
DAARGINDS	9	19104	Op een plaats	wiktionary
ELLENLANG	9	19105	Buitengewoon	wiktionary
EPIDERMIS	9	19106	Opperhuid	wiktionary
INHOUDING	9	19107	Vermindering	wiktionary
KANONNIER	9	19108	Artillerist	wiktionary
KERKRECHT	9	19109	Wetten	wiktionary
KOEHANDEL	9	19110	Overeenkomst	wiktionary
LOTGENOOT	9	19111	Mensen	wiktionary
NATREKKEN	9	19112	Onderzoeken	wiktionary
ONDOENLIJK	9	19113	Niet te doen	wiktionary
OVERLANGS	9	19114	Iets dat lang	wiktionary
REKENFOUT	9	19115	Fout bij het maken	wiktionary
SUIKEROOM	9	19116	Rijke oom	wiktionary
UITPERSEN	9	19117	Door persen geheel	wiktionary
VARIANTIE	9	19118	Gemiddelde waarde	wiktionary
VERHANGEN	9	19119	Zelfmoord plegen	wiktionary
WASKNIJPER	9	19120	Knijper	wiktionary
WETGEVEND	9	19121	Recht hebbend	wiktionary
ZONKRACHT	9	19122	Getal dat de sterkte	wiktionary
CONDOLEREN	10	19123	Medeleven tonen	wiktionary
EDELMOEDIG	10	19124	Vrijgevig	wiktionary
FOODSECTOR	10	19125	Bedrijfstak	wiktionary
GRAFHEUVEL	10	19126	Kunstmatige heuvel	wiktionary
HEBZUCHTIG	10	19127	Blijk gevend	wiktionary
HOEDERECHT	10	19128	Recht	wiktionary
INVORDEREN	10	19129	Betaling eisen van	wiktionary
ONTSTOPPEN	10	19130	Vrijmaken	wiktionary
STADSWACHT	10	19131	In Nederland	wiktionary
TOESTROMEN	10	19132	In groten getale	wiktionary
WEDERKERIG	10	19133	Van beide kanten	wiktionary
WISSELTRUC	10	19134	Door snel	wiktionary
BRUIDSSUITE	11	19135	Heel luxe hotelkamer	wiktionary
BUURTWINKEL	11	19136	Kleine winkel	wiktionary
DOELPUBLIEK	11	19137	Groep mensen	wiktionary
DOORBRANDEN	11	19138	Niet stoppen met branden	wiktionary
JONGSTLEDEN	11	19139	Afgelopen	wiktionary
LIFTSCHACHT	11	19140	Pijpvormig deel	wiktionary
ONBESCHAAFD	11	19141	Geen goede opvoeding	wiktionary
REQUISITOIR	11	19142	Aanklacht	wiktionary
RIDDERSPOOR	11	19143	Spoor aan de laars	wiktionary
SCHRIJVERTJE	11	19144	Kever	wiktionary
SMOKKELWAAR	11	19145	Goederen	wiktionary
STRESSEREND	11	19146	Leidend	wiktionary
VERKWIKKEND	11	19147	Wakker	wiktionary
VERTEKENING	11	19148	Foute beschrijving	wiktionary
WOORDZOEKER	11	19149	Puzzel waarin	wiktionary
BEREIDWILLIG	12	19150	Tot hulp	wiktionary
DIERENOPVANG	12	19151	Opvang van weggelopen	wiktionary
MELANCHOLIEK	12	19152	Met droevige gedachten	wiktionary
ROUTINEMATIG	12	19153	Zoals gewoonlijk	wiktionary
SAMENRAAPSEL	12	19154	Verzameling van zaken	wiktionary
SCHUIMRUBBER	12	19155	Gemaakt	wiktionary
STERRENKIJKER	12	19156	Kijker	wiktionary
STUURKNUPPEL	12	19157	Knuppel of stok	wiktionary
TONGPIERCING	12	19158	Piercing	wiktionary
ZIEKENBEZOEK	12	19159	Bezoeken	wiktionary
BAMA	4	19160	Stelsel of opleiding	wiktionary
ECRU	4	19161	Kleur die zijden	wiktionary
KLAD	4	19162	Vlek	wiktionary
TITI	4	19163	Voorkomend	wiktionary
ATAXIE	6	19164	Onzekere gang	wiktionary
BASLIJN	6	19165	Melodie gespeeld	wiktionary
DICTIE	6	19166	Wijze van uitspreken	wiktionary
DORPEL	6	19167	Horizontale gedeelte	wiktionary
JOKKEN	6	19168	Schertsen	wiktionary
ROCHET	6	19169	Wit koorhemd	wiktionary
SKIHAL	6	19170	Gebouw	wiktionary
TENANT	6	19171	Schildhouder	wiktionary
VISLIJN	6	19172	Draad	wiktionary
WOELIG	6	19173	In onrustige beweging	wiktionary
ZOEVEN	6	19174	Enz	wiktionary
AFVAREN	7	19175	Wegvaren	wiktionary
DEFICIT	7	19176	Gebrek	wiktionary
HAUTAIN	7	19177	Hoogmoedig	wiktionary
IDIOTIE	7	19178	Complete waanzin	wiktionary
INJAGEN	7	19179	Met grote kracht	wiktionary
KWEKKEN	7	19180	Geluid dat kikkers	wiktionary
OPWEGEN	7	19181	Enz	wiktionary
PUREREN	7	19182	Voedsel fijnmaken	wiktionary
SINGLET	7	19183	Kort onderhemd	wiktionary
TASTZIN	7	19184	Gevoel in de huid	wiktionary
TOCCATA	7	19185	Virtuoze	wiktionary
WEBMAIL	7	19186	E-mail via een website	wiktionary
BANKROOF	8	19187	Beroven	wiktionary
BIERFLES	8	19188	Meestal bruine	wiktionary
EENPARIG	8	19189	Zonder verandering	wiktionary
GODSHUIS	8	19190	Gebouw	wiktionary
HACHELIJK	8	19191	Aanmerkelijk aan gevaar	wiktionary
HISPANIC	8	19192	Bewoner van de VS	wiktionary
HOOGVEEN	8	19193	Gebied	wiktionary
HUILBABY	8	19194	Niet zieke	wiktionary
IJSVISSEN	8	19195	Vorm van vissen	wiktionary
KLIKBAAR	8	19196	Wat ergens	wiktionary
KOPTISCH	8	19197	Betrekking hebbend	wiktionary
MANNEKEN	8	19198	Kleine man	wiktionary
MEGABYTE	8	19199	MiB	wiktionary
OPKWEKEN	8	19200	Grootbrengen van planten	wiktionary
RANGEREN	8	19201	Splitsen en samenvoegen	wiktionary
SIDDEREN	8	19202	Van angst beven	wiktionary
SPAARDER	8	19203	Iemand met geld	wiktionary
TUINKERS	8	19204	Eetbaar kruid en lid	wiktionary
VERRIJDEN	8	19205	Door rijden verplaatsen	wiktionary
AFVLOEIEN	9	19206	Ontslag krijgen	wiktionary
ALLERBEST	9	19207	Helemaal goed	wiktionary
BETEUTERD	9	19208	In de war	wiktionary
BETONBLOK	9	19209	Blok gemaakt	wiktionary
BIJDRAAIEN	9	19210	Zeilen	wiktionary
BIJKANTOOR	9	19211	Filiaal	wiktionary
EMULGATOR	9	19212	Stof die helpt	wiktionary
FEESTNEUS	9	19213	Grappig masker	wiktionary
GEKRAKEEL	9	19214	Lawaai ontstaan	wiktionary
HERKANSEN	9	19215	Examen	wiktionary
JAARHELFT	9	19216	Helft	wiktionary
KINDERDAG	9	19217	Feestdag die in het teken	wiktionary
MELODIEUS	9	19218	Aangenaam klinkend	wiktionary
NACHTSLOT	9	19219	Extra stevig slot	wiktionary
NATEKENEN	9	19220	Voorbeeld	wiktionary
SMOELWERK	9	19221	Gezicht	wiktionary
SPINNAKER	9	19222	Groot bol	wiktionary
TOEDRAGEN	9	19223	Bepaalde gevoelens	wiktionary
TOEZEGGEN	9	19224	Beloven	wiktionary
TRAPLOPER	9	19225	Lang vloerkleed	wiktionary
TUCHTHUIS	9	19226	Gevangenis	wiktionary
TUINBROEK	9	19227	Mouwloze overal	wiktionary
UITDUNNEN	9	19228	Dunner bezet maken	wiktionary
UITGLIJDER	9	19229	Domme fout	wiktionary
UNICITEIT	9	19230	Uniek zijn	wiktionary
VOLGOOIEN	9	19231	Op een ruwe	wiktionary
AUTOBOUWER	10	19232	Bedrijf	wiktionary
BEMINNELIJK	10	19233	Aardig in de omgang	wiktionary
BORSTPLAAT	10	19234	Lekkernij bestaande	wiktionary
BRANDHAARD	10	19235	Plaats	wiktionary
DOMINICAAN	10	19236	Kloosterling	wiktionary
DUIZENDTAL	10	19237	Aantal	wiktionary
KASTENWAND	10	19238	Muur van een kamer	wiktionary
LINNENKAST	10	19239	Bergplaats	wiktionary
POLYVALENT	10	19240	Meerwaardig	wiktionary
RONDPOMPEN	10	19241	Met behulp	wiktionary
SCREENTEST	10	19242	Proef	wiktionary
STIJGBEUGEL	10	19243	Metalen beugel	wiktionary
UITLICHTEN	10	19244	Speciaal benadrukken	wiktionary
ZUIGKRACHT	10	19245	Vermogen	wiktionary
ARCHIEFSTUK	11	19246	Document	wiktionary
BRANDMERKEN	11	19247	Merken	wiktionary
CINQUECENTO	11	19248	Vijfhonderd	wiktionary
DOOPSGEZIND	11	19249	Behorend	wiktionary
ECONOMETRIE	11	19250	Behandeling	wiktionary
ERTEGENOVER	11	19251	Tegenover het genoemde	wiktionary
FUNDRAISING	11	19252	Inzameling	wiktionary
KINDERDISCO	11	19253	Discotheek speciaal	wiktionary
KUNSTIJSBAAN	11	19254	Is een schaatsbaan	wiktionary
NETSPANNING	11	19255	Elektrische spanning	wiktionary
NUMEROLOGIE	11	19256	Vorm van waarzeggerij	wiktionary
POLARISEREN	11	19257	Spanningen	wiktionary
ROZENSTRUIK	11	19258	Houtige plant	wiktionary
SPERMADONOR	11	19259	Donor	wiktionary
SPOEDDIENST	11	19260	Organisatie die zorgt	wiktionary
SUPERTALENT	11	19261	Heel groot talent	wiktionary
UITSPREIDEN	11	19262	Door uitvouwen	wiktionary
VOORTREKKER	11	19263	Pionier	wiktionary
WERKHOUDING	11	19264	Motivatie t	wiktionary
WOESTIJNZAND	11	19265	Zand in of afkomstig	wiktionary
ZAALKORFBAL	11	19266	Korfbal dat men binnen	wiktionary
BEHANGPAPIER	12	19267	Dik papier	wiktionary
HERMAFRODIET	12	19268	Tweeslachtig wezen	wiktionary
HOLOGRAFISCH	12	19269	Betrekking hebbend	wiktionary
HOOLIGANISME	12	19270	Geregisseerd geweld	wiktionary
INFORMATICUS	12	19271	Beoefenaar	wiktionary
LONGEMFYSEEM	12	19272	Toestand	wiktionary
LONGSLAGADER	12	19273	Bloedvat	wiktionary
LUCHTVERVOER	12	19274	Vervoer	wiktionary
MEDEREIZIGER	12	19275	Reiziger die net als jij	wiktionary
TITANENSTRIJD	12	19276	Zeer grote strijd	wiktionary
VOORAANZICHT	12	19277	Afbeelding van iets	wiktionary
WATERSPORTEN	12	19278	Lichamelijke bezigheid	wiktionary
WEGTRANSPORT	12	19279	Vervoer van goederen	wiktionary
WIELERWERELD	12	19280	Alle mensen	wiktionary
KERF	4	19281	Ingesneden groef	wiktionary
MOTS	4	19282	Paard of hond	wiktionary
PEEN	4	19283	Straf	wiktionary
RIST	4	19284	Groep zaken	wiktionary
MAROT	5	19285	Stok met een kop erop	wiktionary
MUZAK	5	19286	Muziek gebruikt	wiktionary
NAPPA	5	19287	Gedekt	wiktionary
VOILE	5	19288	Korte wijdmazige	wiktionary
ZEMEN	5	19289	Droogwrijven	wiktionary
DARTEL	6	19290	Geneigd zich uitbundig	wiktionary
DIJKWEG	6	19291	Vaak bochtige	wiktionary
DOWNER	6	19292	Roesmiddel	wiktionary
EBITDA	6	19293	Inkomsten voor aftrek	wiktionary
GIBBON	6	19294	Mensaap uit Azië	wiktionary
GLYCOL	6	19295	Tweewaardige alcohol	wiktionary
HYBRIS	6	19296	Overmoed	wiktionary
KORVEN	6	19297	In een korf brengen	wiktionary
PIELEN	6	19298	Ingespannen bezig zijn	wiktionary
PISPOT	6	19299	Pot van metaal	wiktionary
SCHELM	6	19300	Schurk	wiktionary
TROELA	6	19301	Vervelende	wiktionary
BADSTOF	7	19302	Ruwe stof	wiktionary
BROWSEN	7	19303	Bestanden	wiktionary
BRUGDEK	7	19304	Wegdek	wiktionary
CUMULUS	7	19305	Hoop	wiktionary
DAGPRIJS	7	19306	Hoeveelheid geld	wiktionary
DRUPPEN	7	19307	Druipen	wiktionary
GEHORIG	7	19308	Met slechte	wiktionary
GEVLOEK	7	19309	Aanhoudend vloeken	wiktionary
GEWAAND	7	19310	Ten onrechte	wiktionary
HOUWEEL	7	19311	Metalen werktuig	wiktionary
IJSCOUPE	7	19312	Glazen schaaltje	wiktionary
KABBALA	7	19313	Mystieke joodse leer	wiktionary
KNELLEN	7	19314	Pijnlijk drukken	wiktionary
MOERBEI	7	19315	Plant of boom	wiktionary
OORWORM	7	19316	Insect	wiktionary
OPHIJSEN	7	19317	Enz	wiktionary
PIJLSNEL	7	19318	Zo snel	wiktionary
PUBEREN	7	19319	Opstandige gedrag	wiktionary
SCHISMA	7	19320	Scheuring	wiktionary
SUFFERD	7	19321	Sukkel	wiktionary
TRITIUM	7	19322	Isotoop van waterstof	wiktionary
ZEEPSOP	7	19323	Schuimende oplossing	wiktionary
CAKEWALK	8	19324	Satirische	wiktionary
DROOMJOB	8	19325	Hele fijn baan	wiktionary
ENTREPOT	8	19326	Verzegelde opslagplaats	wiktionary
GYMNASTE	8	19327	Vrouw	wiktionary
HAVEZATE	8	19328	Grote boerderij	wiktionary
HOEKPAND	8	19329	Gebouw	wiktionary
LEERHUIS	8	19330	Gebouw	wiktionary
LIKDOORN	8	19331	Eeltige verdikking	wiktionary
MAINPORT	8	19332	Belangrijk knooppunt	wiktionary
OLIELAMP	8	19333	Soort kruikje	wiktionary
PAASVUUR	8	19334	Groot vuur	wiktionary
REISLUST	8	19335	Zin om te reizen	wiktionary
RENPAARD	8	19336	Paard	wiktionary
SEPARAAT	8	19337	Afzonderlijk	wiktionary
SPATBORD	8	19338	Enz	wiktionary
STRELING	8	19339	Uiting van tederheid	wiktionary
SYNTAXIS	8	19340	Wetenschap	wiktionary
ZEEGROEN	8	19341	Blauwachtig groen	wiktionary
ACTIEPRIJS	9	19342	Speciale lage prijs	wiktionary
ALARMKLOK	9	19343	Wekker	wiktionary
ANNOTATIE	9	19344	Verklarende aantekening	wiktionary
ARGUSOGEN	9	19345	Heel oplettend	wiktionary
BESTRATEN	9	19346	Wegdek verharden	wiktionary
DESPERADO	9	19347	Archaïsch Spaans	wiktionary
FACSIMILE	9	19348	Nauwkeurige nabootsing	wiktionary
GROENHART	9	19349	Neotropische boomsoort	wiktionary
HEIDENDOM	9	19350	Verzamelnaam	wiktionary
HELLEVUUR	9	19351	Vuur van de hel	wiktionary
LOSBREKEN	9	19352	Door breuk	wiktionary
MEESTUREN	9	19353	Samen	wiktionary
OPFRISSER	9	19354	Middel	wiktionary
SATURATIE	9	19355	Verzadiging	wiktionary
STRAFWERK	9	19356	Werk dat een scholier	wiktionary
TENNISARM	9	19357	Pijnlijke afwijkingen	wiktionary
UITWEIDEN	9	19358	Ingewanden	wiktionary
WESTGEVEL	9	19359	Gevel	wiktionary
AANWENDING	10	19360	Iets ergens	wiktionary
ABOMINABEL	10	19361	Bijzonder slecht	wiktionary
BEDLEGERIG	10	19362	Niet in staat	wiktionary
COMPUTEREN	10	19363	Gebruikmaken	wiktionary
CRISISTEAM	10	19364	Groep van mensen	wiktionary
DADENDRANG	10	19365	Zucht	wiktionary
ELEKTROLYT	10	19366	Chemische verbinding	wiktionary
ERETRIBUNE	10	19367	Deel van de tribune	wiktionary
FLEXWERKER	10	19368	Werknemer	wiktionary
HULPKRACHT	10	19369	Iemand die helpt	wiktionary
HYPOTENSIE	10	19370	Lage bloeddruk	wiktionary
LICHTKRANT	10	19371	Regel bewegende	wiktionary
MONOCHROOM	10	19372	In één kleur	wiktionary
NEERZITTEN	10	19373	Gaan zitten	wiktionary
OBSTIPATIE	10	19374	Moeilijke stoelgang	wiktionary
ONVOLKOMEN	10	19375	Niet helemaal	wiktionary
SCHADEPOST	10	19376	Onvoorziene onkosten	wiktionary
TALKPOEDER	10	19377	Poeder gemaakt	wiktionary
UITSTORTEN	10	19378	Materiaal	wiktionary
VEELVOUDIG	10	19379	Meervoudig	wiktionary
WELGEKOMEN	10	19380	Heel erg welkom	wiktionary
ZANDVLAKTE	10	19381	Vlak	wiktionary
ZORGPAKKET	10	19382	Pakket	wiktionary
ZUIDELIJKEN	10	19383	Degenen	wiktionary
AVONDWINKEL	11	19384	Winkel	wiktionary
BASGITARIST	11	19385	Musicus	wiktionary
CONSUMPTIEF	11	19386	Betrekking hebbend	wiktionary
GRONDWERKER	11	19387	Arbeider	wiktionary
INTERRUPTIE	11	19388	Onderbreking	wiktionary
KILOWATTUUR	11	19389	Eenheid van arbeid	wiktionary
KLEINHANDEL	11	19390	Handel	wiktionary
LIJNZAADOLIE	11	19391	Plantaardige olie	wiktionary
MORGENNACHT	11	19392	Nacht na de komende dag	wiktionary
OOGOPERATIE	11	19393	Operatie aan een oog	wiktionary
OPENGEWERKT	11	19394	Door verwijderen	wiktionary
SCHIETSCHIJF	11	19395	Doelwit	wiktionary
STRIJKORKEST	11	19396	Groep muzikanten	wiktionary
STROOMKRING	11	19397	Circuit	wiktionary
VERPULVEREN	11	19398	Tot pulver worden	wiktionary
BOERENZWALUW	12	19399	Kleine trek- en zangvogel	wiktionary
DOORNENKROON	12	19400	Roodkleurige	wiktionary
GEBEELDHOUWD	12	19401	Zo mooi	wiktionary
HANDELSRECHT	12	19402	Vergunning	wiktionary
PARELKETTING	12	19403	Sierraad in de vorm	wiktionary
SPOEDZITTING	12	19404	Politieke bijeenkomst	wiktionary
UITGEMERGELD	12	19405	Door ziekte	wiktionary
VERLATENHEID	12	19406	Toestand	wiktionary
ZOMERVERBLIJF	12	19407	Woning	wiktionary
AKER	4	19408	Koperen	wiktionary
SMOS	4	19409	Glas bier	wiktionary
SPIE	4	19410	Plat of rond	wiktionary
AHORN	5	19411	Boom of heester	wiktionary
AIOLI	5	19412	Eenvoudige	wiktionary
BROES	5	19413	Sproeikop	wiktionary
LIAAN	5	19414	Plant	wiktionary
NONNA	5	19415	Oma	wiktionary
TAIGA	5	19416	Bioom	wiktionary
WEGER	5	19417	Instrument	wiktionary
ALBAST	6	19418	Benaming	wiktionary
AXIOMA	6	19419	Basisbegrip	wiktionary
FALLUS	6	19420	Mannelijk lid	wiktionary
GERANT	6	19421	Manager	wiktionary
MAFFEN	6	19422	In toestand verkeren	wiktionary
POGROM	6	19423	Razzia tegen Joden	wiktionary
STEKEL	6	19424	Langwerpig	wiktionary
STEKER	6	19425	Mens of dier	wiktionary
VILLEN	6	19426	Van het vel ontdoen	wiktionary
VLEIEN	6	19427	Complimenten geven	wiktionary
BADZOUT	7	19428	Badproduct op basis	wiktionary
BALLING	7	19429	Iemand die verbannen is	wiktionary
EFFENEN	7	19430	Gelijk of vlak maken	wiktionary
GEDURIG	7	19431	Met grote regelmaat	wiktionary
GEKROMD	7	19432	Met een bocht	wiktionary
GEZAPIG	7	19433	Rustig	wiktionary
KRANSJE	7	19434	Bijeenkomst van dames	wiktionary
OLIELEK	7	19435	Lekken	wiktionary
SKIOORD	7	19436	Plaats	wiktionary
STATUUR	7	19437	Aanzien	wiktionary
STOPPER	7	19438	Voorwerp	wiktionary
TRIBUUN	7	19439	Functionaris	wiktionary
TUMBLER	7	19440	Bekerglas zonder voet	wiktionary
VERKAPT	7	19441	Niet openlijk	wiktionary
VISSOEP	7	19442	Soep bereid van vis	wiktionary
WIJSGEER	7	19443	Beoefenaar	wiktionary
WRONGEL	7	19444	Neerslag	wiktionary
ZESMAAL	7	19445	In zes gevallen	wiktionary
ZIRKOON	7	19446	Edelsteen	wiktionary
ZWENGEL	7	19447	Arm van een hefboom	wiktionary
ZWIEPEN	7	19448	Veerkrachtig doorbuigen	wiktionary
AANVEGEN	8	19449	Vegend reinigen	wiktionary
